timestamp_ms,rss_kb,virtual_memory_kb,peak_rss_kb,threads,minor_page_faults,major_page_faults,rss_growth_kb_s,minor_faults_s,major_faults_s,risk_score,risk_level,label,run_id
1787855474298,68808,73252,68808,1,908,1,0.000,0.000,0.000,0.000,low,normal,normal_01
1787855475311,68808,73252,68808,1,908,1,0.000,0.000,0.000,7.500,low,normal,normal_01
1787855476414,68808,73252,68808,1,908,1,-0.000,0.000,0.000,10.000,low,normal,normal_01
1787855477488,68808,73252,68808,1,908,1,0.000,0.000,0.000,10.000,low,normal,normal_01
1787855478537,68808,73252,68808,1,908,1,-0.000,0.000,0.000,10.000,low,normal,normal_01
1787855479589,68808,73252,68808,1,908,1,-0.000,0.000,0.000,10.000,low,normal,normal_01
1787855480653,68808,73252,68808,1,908,1,-0.000,0.000,0.000,10.000,low,normal,normal_01
1787855481699,68808,73252,68808,1,908,1,-0.000,0.000,0.000,10.000,low,normal,normal_01
1787855482769,68808,73252,68808,1,908,1,-0.000,0.000,0.000,10.000,low,normal,normal_01
